drugNameA,drugNameB,idDrugA,idDrugB,comboId,bliss,loewe,hsa,zip
RS-127445,Temozolomide,1603,92,590904,-0.1937,0.007,0.007,-0.1933
2-Methoxyestradiol,Temozolomide,378,92,591432,-0.2303,0.044,0.044,-0.2299
Abt-737,Temozolomide,397,92,591453,-0.2384,0.022,0.022,-0.238
Mitoxantrone hydrochloride,Temozolomide,1319,92,590614,-0.2859,0.33,0.33,-0.2858
Rosuvastatin calcium,Temozolomide,1650,92,590954,-0.3295,0.075,0.075,-0.3292
Livalo,Temozolomide,1541,92,590842,-0.3722,0.074,0.074,-0.372
Jtc-801,Temozolomide,1151,92,590433,-0.3892,-0.097,-0.097,-0.3888
GDC-0879,Temozolomide,1011,92,590284,-0.3984,0.011,0.011,-0.3982
PluriSln 1,Temozolomide,1543,92,590844,-0.4334,-0.016,-0.016,-0.4331
Gentian violet,Temozolomide,779,92,591861,-0.4403,-0.008,-0.008,-0.4401
Temozolomide,Temozolomide,92,92,592016,-0.4444,0.132,0.132,-0.4443
beta-Lapachone,Temozolomide,612,92,591684,-0.4536,0.162,0.162,-0.4536
Fluvastatin sodium,Temozolomide,997,92,592088,-0.4591,0.001,0.001,-0.4589
Ruxolitinib,Temozolomide,343,92,591407,-0.4868,0.029,0.029,-0.4866
Flupirtine maleate,Temozolomide,993,92,592084,-0.4917,0.045,0.045,-0.4915
Pirarubicin,Temozolomide,1537,92,590838,-0.4964,-0.248,-0.248,-0.4961
2-Methyladenine,Temozolomide,383,92,591438,-0.5024,0.07,0.07,-0.5023
Gestodene,Temozolomide,1046,92,590321,-0.5081,0.108,0.108,-0.508
Rifampicin,Temozolomide,1628,92,590929,-0.5131,0.103,0.103,-0.5131
TG-100115,Temozolomide,1795,92,591106,-0.5134,0.058,0.058,-0.5133
Doxofylline,Temozolomide,872,92,591956,-0.5154,0.062,0.062,-0.5153
Doripenem hydrate,Temozolomide,865,92,591949,-0.5191,0.097,0.097,-0.519
8-Azaguanine,Temozolomide,390,92,591446,-0.5209,-0.024,-0.024,-0.5207
CYC-116,Temozolomide,678,92,591754,-0.521,-0.207,-0.207,-0.5207
Ifosfamide,Temozolomide,47,92,591542,-0.5232,0.084,0.084,-0.5231
Meclizine hydrochloride,Temozolomide,1272,92,590562,-0.5245,0.044,0.044,-0.5243
Glycyrrhizic acid,Temozolomide,1057,92,590333,-0.529,0.087,0.087,-0.5289
PD-184352,Temozolomide,1458,92,590759,-0.5334,0.0819,0.082,-0.5335
Calcifediol,Temozolomide,683,92,591759,-0.5346,0.081,0.081,-0.5346
Cefoselis sulfate,Temozolomide,709,92,591788,-0.5372,0.077,0.077,-0.5371
NVP-TAE226,Temozolomide,1782,92,591093,-0.5382,-0.251,-0.251,-0.5378
Moexipril hydrochloride,Temozolomide,1323,92,590618,-0.539,0.077,0.077,-0.539
Doxercalciferol,Temozolomide,870,92,591954,-0.5406,0.075,0.075,-0.5406
"Autophagy Inducer, STF-62247",Temozolomide,1695,92,591001,-0.5442,0.0709,0.071,-0.5443
Varespladib,Temozolomide,1941,92,591261,-0.5473,0.046,0.046,-0.5472
Diosmetin,Temozolomide,852,92,591936,-0.5479,0.068,0.068,-0.5478
Hesperidin,Temozolomide,1081,92,590358,-0.5503,0.045,0.045,-0.5502
