drugNameA,drugNameB,idDrugA,idDrugB,comboId,bliss,loewe,hsa,zip
Etoposide,Vemurafenib,36,252,245594,-0.9825,-0.1573,-0.3821,26.8847
Triethylenemelamine,Nelarabine,99,70,93127,-0.7473,-0.1102,-0.4881,21.6041
Ixabepilone,Bleomycin,51,10,201041,-0.8673,-0.2721,-0.5116,21.5833
Sirolimus,Chlorambucil,86,17,142513,-0.8495,-0.2638,-0.4633,21.5044
Mitomycin,Vincristine,65,104,141525,-0.7961,0.0001,-0.4442,21.4965
Crizotinib,Fluorouracil,168,41,108974,-0.9175,-0.3097,-0.5211,21.4618
Diarsenic Trioxide,Azacitidine,30,8,280084,-0.8926,-0.243,-0.4681,21.4453
Tretinoin,Fluorouracil,98,41,123291,-0.9131,-0.4482,-0.4483,21.4188
Floxuridine,Pazopanib,39,286,319004,-0.8751,-0.3947,-0.4076,21.4159
Romidepsin,Mitoxantrone,85,67,257724,-1.0348,-0.432,-0.537,21.4109
Altretamine,Uracil mustard,4,100,140331,-0.9981,-0.6077,-0.6158,21.4078
Letrozole,Fluorouracil,55,41,110914,-0.9538,-0.5403,-0.5358,21.4052
Ixabepilone,Vincristine,51,104,271051,-0.8932,-0.3363,-0.4334,21.4039
Tamoxifen,Etoposide,91,36,365289,-0.965,-0.5142,-0.5435,21.3873
Dasatinib,Teniposide,24,93,89302,-1.0869,-0.6541,-0.6506,21.3856
Etoposide,Vandetanib,36,135,89999,-0.9852,-0.5196,-0.5491,21.3803
Sirolimus,Teniposide,86,93,137593,-0.9514,-0.2269,-0.4102,21.365
Imiquimod,Thioguanine,49,95,90632,-0.9643,-0.4846,-0.4849,21.3642
Sirolimus,Cabazitaxel,86,680,237976,-0.9928,-0.1925,-0.4039,21.3627
Fludarabine,Fluorouracil,40,41,115269,-0.9352,-0.438,-0.456,21.3514
Cladribine,Cabazitaxel,18,680,80403,-0.9329,-0.3845,-0.4214,21.3511
Tretinoin,Fluorouracil,98,41,118266,-0.9608,-0.4905,-0.4816,21.3464
Dasatinib,Uracil mustard,24,100,361929,-1.0759,-0.536,-0.5463,21.3451
Everolimus,Cabazitaxel,37,680,240638,-0.9678,-0.3241,-0.427,21.3412
Ifosfamide,Cytarabine,47,21,110483,-0.9814,-0.4774,-0.4774,21.3401
Diamminedichloroplatinum,Zoledronic Acid,29,108,134645,-1.083,-0.5935,-0.5827,21.3392
Vemurafenib,Crizotinib,252,168,254680,-1.0057,-0.4159,-0.4735,21.3358
Procarbazine,Cabazitaxel,82,680,147266,-1.0414,-0.5308,-0.5359,21.3332
Ixabepilone,Cladribine,51,18,185839,-0.9638,-0.3958,-0.4152,21.3325
Dacarbazine,Mitoxantrone,22,67,179497,-0.9943,-0.4123,-0.4414,21.3291
Decitabine,Tretinoin,26,98,184616,-0.9835,-0.4349,-0.4387,21.3179
Fluorouracil,Mitoxantrone,41,67,285621,-0.9182,-0.0525,-0.2971,21.3159
Fluorouracil,Gefitinib,41,43,285616,-0.9691,-0.1678,-0.3412,21.3117
Everolimus,Vemurafenib,37,252,250487,-1.037,-0.4136,-0.4568,21.2943
Everolimus,Dacarbazine,37,22,245630,-0.8786,-0.1398,-0.2048,21.2936
Nelarabine,Teniposide,70,93,136788,-1.0167,-0.4532,-0.4451,21.2891
Erlotinib,Floxuridine,34,39,215413,-1.0765,-0.5403,-0.5349,21.2871
Mitotane,Cabazitaxel,66,680,101542,-1.085,-0.5139,-0.5116,21.2862
Anastrozole,Cytarabine,7,21,227332,-1.0565,-0.527,-0.4995,21.2827
Methotrexate,Megestrol Acetate,63,58,166494,-1.0828,-0.536,-0.536,21.2754
Diamminedichloroplatinum,Ifosfamide,29,47,264931,-1.1795,-0.5478,-0.5551,21.2588
Pipobroman,Vemurafenib,79,252,247507,-1.0423,-0.3037,-0.3551,21.2575
Etoposide,Pazopanib,36,286,135162,-1.056,-0.4685,-0.465,21.2568
Ixabepilone,Thalidomide,51,94,100771,-0.9784,-0.327,-0.3269,21.2433
Megestrol Acetate,Mitoxantrone,58,67,311359,-1.0926,-0.4754,-0.4754,21.2424
Mitomycin,Fluorouracil,65,41,359141,-0.9219,-0.1122,-0.203,21.2239
Azacitidine,Fluorouracil,8,41,132504,-1.0923,-0.3894,-0.4302,21.2133
Pentostatin,Fluorouracil,78,41,359663,-0.8954,-0.1423,-0.165,21.2104
Thioguanine,Raloxifene,95,83,360684,-0.9849,-0.2409,-0.2628,21.2043
Everolimus,Megestrol Acetate,37,58,140207,-0.9963,-0.236,-0.2423,21.1999
Vinblastine,Fluorouracil,103,41,356030,-0.9264,-0.1657,-0.1945,21.1971
Nelarabine,Fluorouracil,70,41,359338,-0.9677,-0.2343,-0.2342,21.1967
Zoledronic Acid,Fluorouracil,108,41,148482,-1.0678,-0.3332,-0.3405,21.1897
