drugNameA,drugNameB,idDrugA,idDrugB,comboId,bliss,loewe,hsa,zip
Lcl-161,Trametinib,2011,131,592232,-1.0317,-0.0422,-0.0422,4.0617
Navitoclax,Trametinib,128,131,592195,-0.9121,0.0098,-0.0416,3.3157
Refametinib,Dactolisib,2013,332,592201,-1.0524,-0.1025,-0.1517,3.0731
Olaparib,Trametinib,123,131,592092,-1.0139,-0.2007,-0.2005,2.5942
Ponatinib,Trametinib,1546,131,592263,-0.9647,-0.0749,-0.1194,2.5832
SCH-772984,Trametinib,2014,131,592256,-0.9183,-0.2652,-0.2214,2.5482
SCH-772984,Trametinib,2014,131,592122,-1.0634,-0.0602,-0.0867,2.4412
Everolimus,Dactolisib,37,332,592258,-0.5644,0.1,0.0345,2.4147
Venetoclax,Trametinib,163,131,592114,-0.9456,-0.0268,-0.0251,2.0428
Olaparib,Trametinib,123,131,592218,-1.0077,-0.1108,-0.1111,2.037
Entinostat,Trametinib,217,131,592101,-1.1513,-0.2183,-0.2474,2.0129
BMS-387032,Dactolisib,344,332,592126,-0.8548,-0.1824,-0.4018,1.3905
Everolimus,Trametinib,37,131,592157,-0.9814,-0.3059,-0.3514,0.2118
Aminofurazanyl-azabenzimidazole 6n,Trametinib,2008,131,592148,-0.9519,-0.0478,-0.0886,0.097
Bms-754807,Trametinib,192,131,592241,-0.7305,-0.5259,-0.5459,-0.3763
Trametinib,Dactolisib,131,332,592171,-0.7045,-0.0919,-0.4218,-0.5031
SCH-772984,Trametinib,2014,131,592182,-0.8195,-0.0324,-0.557,-0.5207
Bms-754807,LY-3009120,192,2010,592242,-0.8644,-0.3142,-0.5313,-0.5333
Refametinib,Dactolisib,2013,332,592181,-0.7976,-0.0493,-0.4906,-0.5427
BMS-387032,Dactolisib,344,332,592186,-0.8066,-0.0608,-0.5098,-0.5444
Tirbanibulin,Trametinib,1159,131,592167,-0.7957,-0.3201,-0.5115,-0.5577
Lcl-161,Trametinib,2011,131,592244,-0.9643,-0.7592,-0.7592,-0.5599
BMS-387032,Dactolisib,344,332,592156,-0.814,-0.1882,-0.4577,-0.5663
Everolimus,Trametinib,37,131,592187,-0.8442,-0.178,-0.4922,-0.5769
Teniposide,Dactolisib,93,332,592192,-0.8459,-0.1367,-0.4818,-0.58
Diamminedichloroplatinum,Everolimus,29,37,592234,-0.8236,-0.3389,-0.401,-0.5844
Diamminedichloroplatinum,Everolimus,29,37,592246,-0.819,-0.4023,-0.4287,-0.5849
Dasatinib,Dactolisib,24,332,592154,-0.8736,-0.2316,-0.4254,-0.6157
Everolimus,Dactolisib,37,332,592158,-0.9238,-0.2222,-0.453,-0.6356
Diamminedichloroplatinum,Ipatasertib,29,1008,592245,-0.8849,-0.2863,-0.4686,-0.6376
Everolimus,Dactolisib,37,332,592228,-0.8139,-0.171,-0.2874,-0.6389
Diamminedichloroplatinum,Ipatasertib,29,1008,592233,-0.8791,-0.1426,-0.4261,-0.6446
Floxuridine,Dactolisib,39,332,592159,-0.8196,-0.2288,-0.3647,-0.6463
Teniposide,Dactolisib,93,332,592162,-0.856,-0.2414,-0.3957,-0.6478
Everolimus,Dactolisib,37,332,592216,-0.8077,-0.1344,-0.2688,-0.6547
Ponatinib,Trametinib,1546,131,592173,-0.9359,-0.3531,-0.4993,-0.661
