drugNameA,drugNameB,idDrugA,idDrugB,comboId,bliss,loewe,hsa,zip
Triflupromazine,Itraconazole,295,277,384557,0.998,0.998,0.998,0.9994
Mefloquine,Valproic acid,280,296,384209,0.951,0.9594,0.9594,0.9529
Itraconazole,Topiramate,277,294,384135,0.9285,0.9291,0.9285,0.9305
Sulfinpyrazone,Itraconazole,290,277,384452,0.9023,0.9045,0.9043,0.9043
Itraconazole,Eflornithine,277,271,384125,0.8377,0.8385,0.8377,0.8397
Mefloquine,Tizoxanide,280,293,384207,0.828,0.8366,0.8364,0.8299
Pazopanib,Valproic acid,286,296,384370,0.7365,0.7369,0.7365,0.7382
Cinacalcet,Pazopanib,265,286,383822,0.7365,0.7365,0.7365,0.7378
Niclosamide,Cinacalcet,282,265,384245,0.7338,0.7339,0.7338,0.735
Niclosamide,Sulfinpyrazone,282,290,384262,0.7309,0.7344,0.7338,0.7325
Sunitinib,Nitisinone,90,284,384822,0.7146,0.8289,0.8289,0.7159
Carboplatin,Pazopanib,14,286,383588,0.7069,0.7368,0.7365,0.7086
Triflupromazine,Niclosamide,295,282,384560,0.7021,0.7022,0.7021,0.7032
Febuxostat,Valproic acid,273,296,384036,0.699,0.6995,0.699,0.7008
Nitisinone,Sulfinpyrazone,284,290,384317,0.6971,0.7002,0.7001,0.6989
Carisoprodol,Niclosamide,262,282,383758,0.6958,0.7123,0.7117,0.6974
Thiabendazole,Triflupromazine,292,295,384496,0.6585,0.6585,0.6585,0.6597
Teriflunomide,Sulfinpyrazone,291,290,384473,0.655,0.6581,0.6579,0.6567
Tizoxanide,Fluorouracil,293,41,384531,0.6474,0.7362,0.7362,0.6488
Triflupromazine,Aprepitant,295,260,384552,0.6364,0.6364,0.6364,0.6375
Dronedarone,Teriflunomide,270,291,383962,0.6298,0.6299,0.6299,0.631
Topiramate,Niclosamide,294,282,384541,0.6155,0.6161,0.6155,0.6172
Teriflunomide,Isoniazid,291,276,384469,0.6091,0.6125,0.6123,0.6108
Itraconazole,Meclofenamic acid,277,279,384129,0.6067,0.6087,0.6087,0.6083
Tizoxanide,Eflornithine,293,271,384511,0.597,0.7439,0.7439,0.5986
Tizoxanide,Topiramate,293,294,384526,0.5837,0.5839,0.5837,0.5853
Tizoxanide,Trifluoperazine,293,248,384504,0.5782,0.5996,0.5996,0.5796
Febuxostat,Niclosamide,273,282,384031,0.561,0.7345,0.7338,0.5624
Carisoprodol,Febuxostat,262,273,383753,0.5333,0.5494,0.5492,0.5351
Dronedarone,Pazopanib,270,286,383959,0.5321,0.5323,0.5323,0.5333
Sunitinib,Aprepitant,90,260,384806,0.5223,0.6364,0.6364,0.5234
Nitisinone,Isoniazid,284,276,384308,0.5115,0.5148,0.5147,0.5133
Cycloguanil,Nitisinone,267,284,383880,0.5075,0.6136,0.6136,0.509
Mitotane,Topiramate,66,294,384762,0.4786,0.4787,0.4786,0.48
Dronedarone,Mitotane,270,66,383968,0.4784,0.4786,0.4786,0.4793
Quinine,Trifluoperazine,288,248,384403,0.4778,0.4992,0.4992,0.4791
Aprepitant,Nitisinone,260,284,383707,0.4659,0.6368,0.6364,0.4673
Niclosamide,Thiabendazole,282,292,384264,0.4649,0.7304,0.7303,0.4663
Eflornithine,Triflupromazine,271,295,383988,0.4642,0.4802,0.4802,0.4655
Sulfinpyrazone,Febuxostat,290,273,384450,0.4596,0.4626,0.4625,0.4614
Topiramate,Febuxostat,294,273,384538,0.4479,0.448,0.4479,0.4497
Dronedarone,Cinacalcet,270,265,383945,0.4314,0.4319,0.4314,0.4324
Nitisinone,Itraconazole,284,277,384309,0.4282,0.4303,0.4302,0.43
Meclofenamic acid,Sulfinpyrazone,279,290,384178,0.4249,0.4279,0.4278,0.4265
Triflupromazine,Mitotane,295,66,384568,0.4191,0.4191,0.4191,0.42
Sulfinpyrazone,Cinacalcet,290,265,384447,0.4157,0.4157,0.4157,0.4173
Sulfinpyrazone,Carisoprodol,290,262,384446,0.4116,0.4147,0.4146,0.4136
Mercaptopurine,Teriflunomide,61,291,384709,0.4016,0.5182,0.5182,0.4032
Ethinyl estradiol,Nitisinone,272,284,384003,0.3982,0.3982,0.3982,0.4
Sunitinib,Febuxostat,90,273,384814,0.3982,0.5124,0.5124,0.3994
Trifluoperazine,Temozolomide,248,92,383670,0.3957,0.4171,0.4171,0.3971
Isoniazid,Quinine,276,288,384106,0.3951,0.3984,0.3983,0.3966
Mitotane,Carisoprodol,66,262,384742,0.3883,0.4043,0.4041,0.3897
Meclofenamic acid,Isoniazid,279,276,384172,0.3876,0.391,0.3908,0.3892
Temozolomide,Ethinyl estradiol,92,272,384840,0.3825,0.3825,0.3825,0.3842
Dronedarone,Meclofenamic acid,270,279,383954,0.3818,0.382,0.382,0.3829
Mercaptopurine,Topiramate,61,294,384712,0.3795,0.3801,0.3795,0.3813
Sulfinpyrazone,Eflornithine,290,271,384449,0.3773,0.4574,0.4573,0.379
Quinine,Cycloguanil,288,267,384409,0.3701,0.4759,0.4759,0.3713
Fluorouracil,Valproic acid,41,296,384642,0.3596,0.3602,0.3596,0.361
Quinine,Cinacalcet,288,265,384408,0.3544,0.3556,0.3556,0.3555
Topiramate,Dronedarone,294,270,384537,0.354,0.3544,0.354,0.3555
Temozolomide,Triflupromazine,92,295,384852,0.3463,0.3463,0.3463,0.3474
Febuxostat,Nisoldipine,273,283,384032,0.336,0.3526,0.3526,0.3378
Ethinyl estradiol,Carisoprodol,272,262,383993,0.3302,0.3302,0.3302,0.3322
Quinine,Nitisinone,288,284,384417,0.329,0.4993,0.4992,0.3303
Thiabendazole,Teriflunomide,292,291,384494,0.3288,0.5719,0.5717,0.3303
Cinacalcet,Mercaptopurine,265,61,383830,0.3264,0.3264,0.3264,0.3278
Ethinyl estradiol,Mercaptopurine,272,61,384014,0.3223,0.3223,0.3223,0.3241
