drugNameA,drugNameB,idDrugA,idDrugB,comboId,bliss,loewe,hsa,zip
QS-11,GW-441756,341,317,388625,0.3981,0.5647,0.5646,0.3987
Ku-0063794,GW-441756,324,317,387940,0.3182,0.4854,0.4849,0.3192
Lestaurtinib,GW-441756,327,317,388020,0.1236,0.2898,0.2896,0.1242
Ku-0063794,LSN415169,324,329,387946,0.1163,0.5049,0.5049,0.1171
Silmitasertib,Adavosertib,306,2,473502,0.0998,0.1054,0.1053,0.1004
GW-9662,Ku-0063794,318,324,387650,0.0303,0.4188,0.4188,0.0311
Midostaurin,Dorsomorphin,330,308,388105,0.0235,0.4422,0.442,0.0241
Elesclomol,Dorsomorphin,239,308,386187,-0.0117,0.4085,0.4079,-0.0108
Sepantronium Bromide,Tie2 kinase inhibitor,184,354,385841,-0.0246,0.2564,0.2564,-0.0238
Fingolimod,BMS-387032,312,344,416216,-0.1337,0.4818,0.4815,-0.1331
Elesclomol,BI-D1870,239,191,535348,-0.1361,0.229,0.2286,-0.1352
Everolimus,GW-441756,37,317,389817,-0.1493,0.0175,0.0171,-0.1485
JNK5a,PF-04217903,322,336,531301,-0.1533,0.0429,0.0425,-0.1523
Fingolimod,HIF-1i,312,319,536602,-0.1675,-0.0046,-0.0047,-0.1669
A-769662,TO-901317,297,349,386748,-0.1722,0.2417,0.2416,-0.1719
Vismodegib,Lenalidomide,254,54,386491,-0.1989,0.1794,0.1794,-0.1984
Bortezomib,PF-04217903,11,336,528586,-0.2036,-0.0755,-0.0755,-0.2021
GSK-0660,Ku-0063794,314,324,387569,-0.2139,0.1737,0.1737,-0.2132
Everolimus,SU-6656,37,348,389840,-0.2225,0.204,0.2036,-0.2219
Fingolimod,Nilutamide,312,331,536614,-0.2297,0.2064,0.2064,-0.2294
Fingolimod,Elesclomol,312,239,536576,-0.2521,0.2808,0.2808,-0.2515
Fingolimod,Ku-0063794,312,324,536607,-0.258,0.0562,0.0562,-0.2572
Everolimus,Temozolomide,37,92,389856,-0.2586,0.0978,0.0974,-0.2576
Everolimus,Dorsomorphin,37,308,389811,-0.2616,0.1577,0.1574,-0.261
Everolimus,Lenalidomide,37,54,81129,-0.2904,0.0897,0.0893,-0.2896
Lestaurtinib,JNK5a,327,322,388025,-0.3062,0.1833,0.1832,-0.3055
Crizotinib,PF-04217903,168,336,528951,-0.314,-0.1182,-0.1183,-0.3132
Lestaurtinib,Temozolomide,327,92,388068,-0.3243,0.031,0.0308,-0.3235
Fingolimod,Vatalanib,312,357,536635,-0.3286,0.0832,0.0831,-0.3281
GW-9662,TO-901317,318,349,387658,-0.3351,0.0801,0.08,-0.3346
Vincristine,Lenalidomide,104,54,79935,-0.3414,0.0375,0.0374,-0.3408
Lestaurtinib,Lenalidomide,327,54,388064,-0.3433,0.0357,0.0356,-0.3426
Dactolisib,Dovitinib,332,169,388189,-0.3437,-0.1264,-0.1267,-0.3429
Erlotinib,Lenalidomide,34,54,81022,-0.347,0.0312,0.0312,-0.3464
Fludarabine,Temozolomide,40,92,389921,-0.3552,-0.3411,-0.3411,-0.3541
Lestaurtinib,TO-901317,327,349,388048,-0.3574,0.0568,0.0567,-0.3567
Tanespimycin,L-779450,351,326,412189,-0.3605,-0.0889,-0.0891,-0.36
Everolimus,Indole-3-carbinol,37,320,389820,-0.365,0.2293,0.2289,-0.3644
Lestaurtinib,Ku-0063794,327,324,388027,-0.3695,0.0182,0.0181,-0.3688
Ruxolitinib,PF-04217903,343,336,475124,-0.3754,-0.2354,-0.2354,-0.3745
Tozasertib,Lenalidomide,246,54,386402,-0.3762,0.0027,0.0025,-0.3756
Sunitinib,Selisistat,90,310,476601,-0.3758,-0.3443,-0.3443,-0.3757
Lestaurtinib,LSN415169,327,329,388031,-0.382,0.1736,0.1735,-0.3815
PD173074,L-779450,228,326,386128,-0.387,0.2518,0.2517,-0.3866
Selumetinib,Sepantronium Bromide,137,184,385416,-0.3959,-0.1141,-0.1141,-0.3948
Lestaurtinib,SU-6656,327,348,388047,-0.3954,0.0299,0.0298,-0.3949
FK866,BMS-387032,313,344,530981,-0.4024,-0.0546,-0.0548,-0.4013
Tanespimycin,JNK5a,351,322,475425,-0.4041,0.4102,0.4102,-0.4039
Fingolimod,Bms-536924,312,301,536586,-0.4055,0.0774,0.0774,-0.405
Lestaurtinib,Indole-3-carbinol,327,320,388023,-0.4207,0.172,0.1719,-0.4202
Everolimus,Sepantronium Bromide,37,184,389790,-0.4262,-0.1446,-0.1446,-0.4251
Lestaurtinib,Silmitasertib,327,306,388010,-0.4371,0.0251,0.025,-0.4367
Lestaurtinib,Dorsomorphin,327,308,388012,-0.4401,-0.0219,-0.0221,-0.4396
Navitoclax,Fingolimod,128,312,534510,-0.441,0.1472,0.1471,-0.4406
ZM-336372,LSN415169,362,329,389619,-0.4412,0.1133,0.1133,-0.441
Lestaurtinib,QS-11,327,341,388042,-0.4476,0.0442,0.0441,-0.4471
Sepantronium Bromide,JZL-184,184,323,385823,-0.4482,-0.1681,-0.1681,-0.4475
PF-00562271 free base,Midostaurin,337,330,474794,-0.449,-0.4048,-0.4049,-0.4483
Lestaurtinib,Tanespimycin,327,351,388050,-0.4518,-0.0074,-0.0075,-0.4511
Tanespimycin,PF-04217903,351,336,532642,-0.4521,-0.2569,-0.2569,-0.4514
Decitabine,Tipifarnib,26,244,472928,-0.4519,-0.1119,-0.1118,-0.4516
Everolimus,TO-901317,37,349,389841,-0.4529,-0.0374,-0.0378,-0.452
AZD-7762,A-769662,119,297,385226,-0.459,0.1048,0.1048,-0.4586
Etoposide,Everolimus,36,37,389775,-0.4663,0.129,0.1288,-0.4657
AS-252424,Tie2 kinase inhibitor,298,354,386767,-0.4689,0.2955,0.2954,-0.4687
Lestaurtinib,Dovitinib,327,169,387986,-0.4728,-0.2561,-0.2562,-0.4722
Fingolimod,Vorinostat,312,106,473747,-0.4725,0.3136,0.3136,-0.4722
Vincristine,VX-702,104,358,384994,-0.4771,0.3603,0.3603,-0.4768
Everolimus,Tanespimycin,37,351,389843,-0.4793,-0.034,-0.034,-0.4785
Navitoclax,Temozolomide,128,92,385406,-0.4835,-0.1287,-0.1287,-0.4828
Everolimus,Silmitasertib,37,306,389809,-0.4918,-0.0283,-0.0286,-0.4912
Everolimus,QS-11,37,341,389836,-0.4929,0.0004,0,-0.4921
Lestaurtinib,Gemcitabine,327,45,388062,-0.4929,0.1351,0.1351,-0.4924
Fingolimod,ZM-336372,312,362,536638,-0.497,0.0528,0.0527,-0.4967
Lestaurtinib,Nilutamide,327,331,388034,-0.4996,0.2532,0.253,-0.4992
Everolimus,Elesclomol,37,239,389795,-0.5001,-0.048,-0.0481,-0.4993
Everolimus,JNK5a,37,322,389822,-0.5035,-0.0129,-0.013,-0.5027
Fingolimod,Embelin,312,203,536572,-0.5038,-0.0096,-0.0097,-0.5034
Lestaurtinib,PLX-4720,327,340,388041,-0.5125,0.2813,0.2811,-0.5122
Etoposide,Lestaurtinib,36,327,389687,-0.5233,0.085,0.0849,-0.5228
Lestaurtinib,Sepantronium Bromide,327,184,387988,-0.525,-0.2441,-0.2442,-0.5242
Docetaxel,Bortezomib,32,11,387756,-0.5267,-0.3047,-0.3048,-0.5255
